what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522158745672
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522158745672
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522158753129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158754049
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522158754704
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1522158754767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158754798
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522158754798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522158754798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158755906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158756389
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522158756389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522158756389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158759182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158790756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158800350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158810069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158810599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158814187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158818742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158819959
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1522158820178
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1522158821644
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1522158823533
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/Users/Francisco/Desktop/DE2_70_QSYS/Eclipse/software/Teste2/Teste2.elf] return code: 4, 'other error'",1522158826512
error,log,,,"Downloading ELF Process failed",1522158826512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158826512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158827979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522158829227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158829929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158830303
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1522158830303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522158830303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158831005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522158831364
